session_id,training_day,date,body_weight,mood,dchest,arms,waist,legs,shoulders,training_duration_minutes,sleep_hours,stress_level,program_phase,exercise,muscle_group,weight,reps,volume
474,FULLBODY3,2015-01-08,76.9,tired,91.5,26.6,64.7,50.3,107.1,59.0,5.6,5,hypertrophy,Seated Face Pull,shoulders,277.5,8,2220.0
602,FULLBODY2,2015-11-03,80.3,tired,96.5,27.3,68.5,51.8,111.8,55.2,6.4,5,hypertrophy,Chest-Supported TBar-Row,back,350.0,9,3150.0
420,FULLBODY3,2014-09-05,76.2,tired,91.6,25.9,64.8,51.9,105.5,58.5,6.9,2,hypertrophy,Reverse Grip Lat Pulldown,back,205.0,11,2255.0
1172,FULLBODY2,2019-06-26,95.0,tired,113.8,33.1,80.2,60.7,132.8,58.0,6.5,4,hypertrophy,Deadlift,back,747.5,8,5980.0
327,FULLBODY3,2014-01-29,73.7,good,89.3,26.1,63.5,47.8,103.1,59.5,8.4,1,hypertrophy,Dumbbell Lateral Raise,shoulders,250.0,10,2500.0
947,FULLBODY2,2018-01-17,89.4,tired,106.5,31.8,76.0,58.5,125.0,60.9,6.3,4,hypertrophy,Crunch,core,422.5,10,4225.0
529,FULLBODY1,2015-05-17,79.1,tired,96.7,27.2,67.8,50.0,111.1,52.1,6.4,6,deload,Dumbbell Supinated Curl,biceps,300.0,8,2400.0
138,FULLBODY3,2012-11-14,72.8,tired,87.4,25.8,63.2,46.1,103.3,69.1,5.9,6,hypertrophy,Lying Leg Curl,hamstrings,125.0,6,750.0
1417,FULLBODY1,2021-01-16,97.6,okay,117.6,34.5,83.1,62.4,135.8,68.1,7.5,2,deload,Dumbbell Supinated Curl,biceps,812.5,8,6500.0
802,FULLBODY1,2017-02-11,86.2,good,103.8,30.5,75.9,56.6,120.8,65.3,9.3,1,hypertrophy,Standing Calf Raise,calves,435.0,11,4785.0
322,FULLBODY1,2014-01-18,73.7,tired,88.8,26.0,64.0,48.0,102.5,58.5,6.4,5,hypertrophy,Standing Calf Raise,calves,227.5,10,2275.0
1154,FULLBODY2,2019-05-15,94.1,okay,111.9,33.4,80.6,61.7,131.3,56.7,7.1,3,hypertrophy,Deadlift,back,657.5,9,5917.5
369,FULLBODY3,2014-05-08,75.1,okay,89.8,25.3,63.9,47.0,103.7,63.4,7.6,2,deload,Reverse Grip Lat Pulldown,back,330.0,6,1980.0
63,FULLBODY3,2012-05-23,71.0,tired,87.2,25.2,61.3,45.9,99.5,62.8,6.3,4,hypertrophy,Seated Face Pull,shoulders,52.5,8,420.0
1519,FULLBODY1,2021-09-11,100.5,okay,119.7,34.3,84.1,65.0,140.9,57.5,7.3,1,hypertrophy,Dumbbell Supinated Curl,biceps,870.0,8,6960.0
556,FULLBODY1,2015-07-19,79.9,tired,95.8,27.4,69.4,52.2,112.0,63.6,7.0,3,hypertrophy,Assisted Dip,triceps,350.0,8,2800.0
231,FULLBODY3,2013-06-21,71.7,good,86.8,24.4,60.4,46.1,99.6,68.0,8.9,2,hypertrophy,Seated Face Pull,shoulders,197.5,6,1185.0
600,FULLBODY3,2015-10-29,80.3,good,97.7,28.4,67.2,51.3,111.6,60.4,8.5,1,hypertrophy,Dumbbell Incline Press,chest,375.0,12,4500.0
1094,FULLBODY2,2018-12-25,92.6,okay,111.1,31.9,79.3,60.7,129.6,50.0,7.1,3,hypertrophy,Crunch,core,417.5,12,5010.0
517,FULLBODY1,2015-04-18,78.8,good,96.0,27.3,66.2,50.8,111.1,59.3,9.1,2,hypertrophy,Barbell Bench Press,chest,335.0,8,2680.0
1694,FULLBODY2,2022-10-26,104.9,okay,124.8,37.5,90.3,69.3,147.4,72.5,7.7,1,hypertrophy,Deadlift,back,1387.5,6,8325.0
1729,FULLBODY1,2023-01-14,104.8,good,126.6,36.8,88.9,69.8,145.7,66.3,9.1,1,deload,Barbell Bench Press,chest,1375.0,6,8250.0
1748,FULLBODY2,2023-02-27,105.1,okay,125.0,37.4,89.5,69.3,145.9,58.2,7.6,4,hypertrophy,Dumbbell Skull Crusher,triceps,1027.5,12,12330.0
67,FULLBODY1,2012-06-04,70.8,good,84.0,24.2,60.9,46.2,99.2,67.9,8.8,2,hypertrophy,Standing Calf Raise,calves,67.5,12,810.0
1378,FULLBODY1,2020-10-18,96.6,tired,117.0,34.6,81.9,63.9,136.0,61.1,6.6,4,hypertrophy,Barbell Bench Press,chest,825.0,8,6600.0
109,FULLBODY1,2012-09-08,71.6,good,86.2,24.2,62.2,47.5,100.5,60.3,8.8,1,hypertrophy,Back Squat,legs,75.0,12,900.0
1228,FULLBODY1,2019-11-03,95.6,okay,113.4,32.8,81.2,62.5,131.9,62.4,7.1,5,hypertrophy,Standing Calf Raise,calves,1022.5,7,7157.5
385,FULLBODY1,2014-06-16,75.4,okay,90.0,26.1,63.9,49.1,106.2,64.3,7.3,2,deload,Back Squat,legs,247.5,10,2475.0
156,FULLBODY3,2012-12-28,72.5,tired,86.4,25.6,61.6,48.0,102.3,65.8,5.9,4,hypertrophy,Dumbbell Lateral Raise,shoulders,127.5,9,1147.5
987,FULLBODY3,2018-04-20,90.1,tired,108.2,31.8,76.7,58.4,127.5,66.7,5.9,6,hypertrophy,Dumbbell Incline Press,chest,600.0,12,7200.0
540,FULLBODY3,2015-06-12,79.2,okay,96.0,27.8,67.3,51.1,109.8,52.6,7.3,2,hypertrophy,Dumbbell Walking Lunge,legs,402.5,6,2415.0
766,FULLBODY1,2016-11-20,85.5,okay,102.4,30.2,74.4,55.6,119.6,64.2,7.9,3,hypertrophy,Lat Pulldown,back,637.5,6,3825.0
536,FULLBODY2,2015-06-02,79.3,okay,93.9,29.3,66.8,50.6,112.9,75.1,7.5,5,hypertrophy,Overhead Press,shoulders,445.0,9,4005.0
495,FULLBODY3,2015-02-25,77.9,okay,91.8,27.6,63.9,49.7,108.7,59.5,7.1,4,hypertrophy,Barbell Hip Thrust,glutes,332.5,12,3990.0
197,FULLBODY2,2013-04-03,71.4,tired,85.2,24.8,60.4,47.1,98.4,63.2,6.0,4,hypertrophy,Chest-Supported TBar-Row,back,210.0,6,1260.0
1365,FULLBODY3,2020-09-16,96.5,okay,115.1,33.2,80.6,61.7,134.7,70.6,7.8,5,hypertrophy,Lying Leg Curl,hamstrings,987.5,6,5925.0
267,FULLBODY3,2013-09-13,73.0,good,87.3,25.6,63.3,46.3,103.3,57.5,9.3,2,hypertrophy,Dumbbell Walking Lunge,legs,212.5,6,1275.0
1707,FULLBODY3,2022-11-24,104.5,good,126.8,36.4,88.2,67.2,145.7,61.4,10.0,1,hypertrophy,Dumbbell Lateral Raise,shoulders,1002.5,12,12030.0
919,FULLBODY1,2017-11-12,88.2,okay,106.3,30.5,76.2,56.9,124.7,63.4,7.9,2,hypertrophy,Barbell Bench Press,chest,507.5,9,4567.5
513,FULLBODY3,2015-04-08,78.7,good,94.4,27.7,65.1,51.7,109.3,57.7,9.9,1,deload,Dumbbell Lateral Raise,shoulders,312.5,12,3750.0
611,FULLBODY2,2015-11-23,80.6,good,95.9,28.5,69.8,51.8,111.8,68.9,9.2,1,hypertrophy,Cable Flye,chest,475.0,6,2850.0
868,FULLBODY1,2017-07-17,86.8,tired,104.6,29.7,72.8,57.2,123.0,68.2,6.5,3,hypertrophy,Assisted Dip,triceps,587.5,7,4112.5
1384,FULLBODY1,2020-11-01,96.6,okay,116.0,34.5,80.7,62.2,135.6,66.4,7.1,2,hypertrophy,Lat Pulldown,back,955.0,7,6685.0
269,FULLBODY2,2013-09-16,73.1,okay,88.0,26.2,62.2,46.5,102.0,56.3,7.5,3,hypertrophy,Chest-Supported TBar-Row,back,205.0,8,1640.0
1934,FULLBODY2,2024-05-06,110.1,tired,131.1,38.7,95.8,70.1,153.1,61.4,6.4,4,hypertrophy,Cable Flye,chest,1417.5,6,8505.0
1906,FULLBODY1,2024-03-03,109.9,okay,133.1,38.1,94.0,71.3,151.8,56.1,7.5,1,hypertrophy,Dumbbell Supinated Curl,biceps,730.0,12,8760.0
1688,FULLBODY2,2022-10-12,104.8,tired,125.4,35.7,89.4,68.0,147.5,69.7,6.4,4,hypertrophy,Crunch,core,1257.5,6,7545.0
160,FULLBODY1,2013-01-07,72.2,okay,88.1,25.2,61.7,46.2,103.0,63.8,7.4,3,hypertrophy,Dumbbell Supinated Curl,biceps,85.0,9,765.0
721,FULLBODY1,2016-08-08,84.1,okay,100.5,29.3,71.1,53.9,116.6,69.9,7.6,3,deload,Back Squat,legs,437.5,10,4375.0
1199,FULLBODY2,2019-08-26,95.0,tired,116.2,32.7,80.4,60.5,131.6,51.7,5.8,4,hypertrophy,Cable Flye,chest,902.5,6,5415.0
814,FULLBODY1,2017-03-12,86.5,good,104.5,29.9,72.8,57.2,121.9,57.1,8.7,2,hypertrophy,Dumbbell Supinated Curl,biceps,407.5,9,3667.5
1102,FULLBODY1,2019-01-13,92.8,okay,111.2,32.0,79.3,61.2,129.2,57.6,7.9,1,hypertrophy,Assisted Dip,triceps,722.5,7,5057.5
781,FULLBODY1,2016-12-26,86.2,tired,103.0,30.9,72.0,56.4,118.8,57.7,6.5,4,hypertrophy,Assisted Dip,triceps,627.5,6,3765.0
1217,FULLBODY2,2019-10-07,95.1,tired,116.4,33.4,82.8,62.5,132.9,58.8,6.5,2,deload,Overhead Press,shoulders,800.0,11,8800.0
622,FULLBODY1,2015-12-20,81.2,tired,97.1,27.8,67.9,53.4,115.3,64.8,6.4,3,hypertrophy,Back Squat,legs,417.5,9,3757.5
1439,FULLBODY2,2021-03-09,98.9,okay,119.6,34.5,84.4,64.0,136.4,66.2,7.1,5,hypertrophy,Deadlift,back,1020.0,7,7140.0
442,FULLBODY1,2014-10-25,76.8,tired,92.5,28.2,66.1,50.8,108.1,54.6,6.9,3,hypertrophy,Back Squat,legs,307.5,9,2767.5
1397,FULLBODY2,2020-11-30,96.5,tired,116.6,33.4,82.8,62.7,132.5,50.5,6.5,2,hypertrophy,Dumbbell Skull Crusher,triceps,827.5,12,9930.0
423,FULLBODY3,2014-09-10,76.3,tired,91.0,26.9,63.8,49.4,107.6,61.4,7.0,2,hypertrophy,Barbell Hip Thrust,glutes,292.5,12,3510.0
205,FULLBODY1,2013-04-20,71.4,good,85.4,25.5,61.4,47.1,100.2,64.4,8.6,2,hypertrophy,Assisted Dip,triceps,145.0,8,1160.0
599,FULLBODY2,2015-10-26,80.4,tired,93.7,28.4,67.4,50.7,113.5,64.4,6.8,5,hypertrophy,Leg Extension,quads,370.0,12,4440.0
847,FULLBODY1,2017-05-28,86.4,okay,104.0,31.1,73.7,57.2,119.5,58.3,7.5,1,hypertrophy,Dumbbell Supinated Curl,biceps,545.0,7,3815.0
754,FULLBODY1,2016-10-22,84.9,okay,102.2,29.4,72.2,54.7,119.3,70.5,7.1,4,hypertrophy,Dumbbell Supinated Curl,biceps,337.5,10,3375.0
613,FULLBODY1,2015-11-28,80.7,good,96.4,30.0,70.9,52.3,113.9,60.9,8.3,3,hypertrophy,Assisted Dip,triceps,340.0,9,3060.0
311,FULLBODY2,2013-12-25,74.2,tired,88.0,26.2,63.3,47.9,106.1,57.1,6.4,5,hypertrophy,Cable Flye,chest,245.0,6,1470.0
512,FULLBODY2,2015-04-06,78.5,good,95.0,27.8,65.8,51.1,111.8,69.5,8.5,1,hypertrophy,Overhead Press,shoulders,320.0,12,3840.0
301,FULLBODY1,2013-12-01,73.8,tired,86.9,25.1,62.7,46.9,105.4,58.3,6.1,3,hypertrophy,Lat Pulldown,back,165.0,10,1650.0
1164,FULLBODY3,2019-06-06,94.7,okay,114.2,33.2,82.1,60.6,134.6,68.7,7.2,2,hypertrophy,Dumbbell Lateral Raise,shoulders,665.0,12,7980.0
924,FULLBODY3,2017-11-22,88.5,tired,106.6,31.4,76.3,57.6,124.3,64.5,6.6,3,hypertrophy,Dumbbell Lateral Raise,shoulders,532.5,12,6390.0
380,FULLBODY2,2014-06-04,75.8,okay,90.0,26.8,63.3,49.3,104.3,57.9,7.0,2,hypertrophy,Leg Extension,quads,250.0,12,3000.0
525,FULLBODY3,2015-05-07,78.8,okay,94.1,27.2,66.3,52.1,108.5,55.3,7.8,1,hypertrophy,Dumbbell Walking Lunge,legs,392.5,6,2355.0
277,FULLBODY1,2013-10-06,72.9,tired,88.6,25.5,61.9,48.0,102.7,66.4,6.0,4,hypertrophy,Lat Pulldown,back,175.0,9,1575.0
1160,FULLBODY2,2019-05-28,94.8,good,114.1,33.7,82.0,61.5,134.2,61.2,8.1,1,hypertrophy,Cable Flye,chest,875.0,6,5250.0
819,FULLBODY3,2017-03-24,86.2,tired,103.3,30.4,74.1,55.1,120.5,66.6,6.4,3,hypertrophy,Dumbbell Incline Press,chest,672.5,9,6052.5
1994,FULLBODY2,2024-09-24,110.6,good,131.0,38.2,93.1,71.4,154.2,62.3,8.1,3,hypertrophy,Chest-Supported TBar-Row,back,1367.5,7,9572.5
915,FULLBODY3,2017-11-01,87.5,tired,104.6,29.8,75.1,57.5,122.3,66.4,6.2,3,hypertrophy,Dumbbell Lateral Raise,shoulders,575.0,11,6325.0
732,FULLBODY3,2016-08-31,84.0,good,102.0,29.7,73.1,55.2,117.9,62.6,8.9,1,hypertrophy,Dumbbell Walking Lunge,legs,550.0,6,3300.0
1081,FULLBODY1,2018-11-26,92.7,tired,111.0,33.0,77.6,61.1,131.0,66.2,5.9,4,deload,Standing Calf Raise,calves,795.0,8,6360.0
1185,FULLBODY3,2019-07-25,95.1,okay,114.9,33.8,81.7,61.4,133.5,55.9,7.6,2,deload,Barbell Hip Thrust,glutes,752.5,12,9030.0
109,FULLBODY1,2012-09-08,71.6,good,86.2,24.2,62.2,47.5,100.5,60.3,8.8,1,hypertrophy,Lat Pulldown,back,70.0,12,840.0
1843,FULLBODY1,2023-10-07,108.2,good,130.4,37.1,92.9,70.5,150.6,62.9,8.0,2,hypertrophy,Lat Pulldown,back,1095.0,8,8760.0
119,FULLBODY2,2012-10-01,71.9,tired,85.4,25.8,59.9,47.1,101.1,59.0,6.8,3,hypertrophy,Leg Extension,quads,112.5,11,1237.5
1327,FULLBODY1,2020-06-21,95.4,tired,113.6,34.0,81.0,61.8,133.7,67.7,6.9,4,hypertrophy,Lat Pulldown,back,717.5,9,6457.5
1032,FULLBODY3,2018-08-03,91.2,good,110.4,32.2,79.3,59.9,124.9,64.5,10.0,1,hypertrophy,Dumbbell Walking Lunge,legs,767.5,6,4605.0
530,FULLBODY2,2015-05-20,79.0,okay,95.8,27.5,65.7,51.8,111.5,64.5,7.7,2,hypertrophy,Deadlift,back,392.5,8,3140.0
1453,FULLBODY1,2021-04-11,99.1,good,119.7,34.5,84.7,63.5,137.0,68.2,8.1,1,hypertrophy,Assisted Dip,triceps,660.0,10,6600.0
350,FULLBODY2,2014-03-26,75.2,tired,88.8,26.0,63.1,48.6,104.7,53.0,7.0,3,hypertrophy,Cable Flye,chest,277.5,6,1665.0
1680,FULLBODY3,2022-09-22,104.2,good,125.5,37.1,88.7,68.7,145.2,53.9,8.4,2,hypertrophy,Seated Face Pull,shoulders,1300.0,6,7800.0
1647,FULLBODY3,2022-07-08,103.2,tired,124.3,35.6,88.6,66.1,144.0,60.9,5.6,6,hypertrophy,Dumbbell Walking Lunge,legs,1040.0,7,7280.0
831,FULLBODY3,2017-04-20,86.1,okay,103.1,30.0,74.6,56.6,120.7,67.1,7.9,4,hypertrophy,Barbell Hip Thrust,glutes,642.5,10,6425.0
1394,FULLBODY2,2020-11-24,96.6,good,117.2,33.7,80.5,63.3,136.3,63.8,8.3,1,hypertrophy,Cable Flye,chest,777.5,8,6220.0
1458,FULLBODY3,2021-04-22,99.4,okay,118.2,34.9,84.3,65.0,138.3,61.5,7.9,1,hypertrophy,Barbell Hip Thrust,glutes,910.0,12,10920.0
1175,FULLBODY2,2019-07-02,95.0,good,113.4,33.3,81.8,62.5,133.1,57.5,8.7,1,hypertrophy,Crunch,core,597.5,9,5377.5
1154,FULLBODY2,2019-05-15,94.1,okay,111.9,33.4,80.6,61.7,131.3,56.7,7.1,3,hypertrophy,Leg Extension,quads,1067.5,8,8540.0
590,FULLBODY2,2015-10-05,79.8,tired,95.8,28.7,68.3,53.7,110.3,62.6,5.8,5,hypertrophy,Dumbbell Skull Crusher,triceps,472.5,9,4252.5
634,FULLBODY1,2016-01-17,81.7,good,96.8,27.7,69.5,52.5,113.7,64.5,8.9,1,hypertrophy,Standing Calf Raise,calves,332.5,12,3990.0
209,FULLBODY2,2013-04-30,71.5,tired,85.3,24.9,59.3,47.5,101.2,61.1,6.6,3,deload,Leg Extension,quads,205.0,9,1845.0
955,FULLBODY1,2018-02-05,89.7,okay,108.3,31.4,76.3,59.3,124.3,62.0,7.2,3,hypertrophy,Dumbbell Supinated Curl,biceps,730.0,6,4380.0
1061,FULLBODY2,2018-10-09,92.7,okay,111.5,31.9,78.9,60.8,130.4,56.0,7.7,3,hypertrophy,Crunch,core,437.5,11,4812.5
708,FULLBODY3,2016-07-06,84.2,tired,101.6,29.6,69.8,55.5,117.7,66.6,5.9,4,hypertrophy,Dumbbell Lateral Raise,shoulders,420.0,12,5040.0
633,FULLBODY3,2016-01-13,81.7,tired,97.8,28.8,68.6,52.4,114.9,71.1,6.9,5,deload,Dumbbell Lateral Raise,shoulders,380.0,12,4560.0
1032,FULLBODY3,2018-08-03,91.2,good,110.4,32.2,79.3,59.9,124.9,64.5,10.0,1,hypertrophy,Dumbbell Lateral Raise,shoulders,592.5,12,7110.0
1316,FULLBODY2,2020-05-26,95.5,okay,114.9,32.9,81.8,63.3,133.3,61.4,7.2,1,hypertrophy,Dumbbell Skull Crusher,triceps,780.0,12,9360.0
1689,FULLBODY3,2022-10-14,104.7,tired,126.1,36.8,89.2,67.3,146.1,71.5,6.3,3,deload,Reverse Grip Lat Pulldown,back,710.0,11,7810.0
1714,FULLBODY1,2022-12-11,104.5,good,125.7,35.1,89.2,66.6,145.3,61.9,8.4,3,hypertrophy,Dumbbell Supinated Curl,biceps,982.5,8,7860.0
1597,FULLBODY1,2022-03-14,100.6,okay,119.2,34.9,84.2,65.4,141.4,68.8,7.4,4,hypertrophy,Dumbbell Supinated Curl,biceps,665.0,11,7315.0
382,FULLBODY1,2014-06-08,75.8,okay,91.0,27.4,65.4,48.2,105.9,60.2,7.5,3,hypertrophy,Dumbbell Supinated Curl,biceps,147.5,12,1770.0
20,FULLBODY2,2012-02-13,70.8,good,84.4,25.5,59.7,46.7,101.4,56.1,8.3,3,hypertrophy,Overhead Press,shoulders,37.5,11,412.5
1170,FULLBODY3,2019-06-20,94.9,tired,115.1,33.8,79.3,61.8,134.4,63.6,6.7,4,hypertrophy,Dumbbell Walking Lunge,legs,432.5,12,5190.0
953,FULLBODY2,2018-01-29,89.7,good,107.6,31.4,77.7,58.4,123.3,56.7,8.8,2,deload,Dumbbell Skull Crusher,triceps,565.0,12,6780.0
1874,FULLBODY2,2023-12-18,108.6,good,129.3,38.1,93.0,71.4,153.2,53.6,8.8,2,hypertrophy,Deadlift,back,1527.5,6,9165.0
419,FULLBODY2,2014-09-03,76.2,good,91.5,27.5,67.4,49.5,104.1,54.8,8.8,3,hypertrophy,Leg Extension,quads,267.5,12,3210.0
1377,FULLBODY3,2020-10-16,96.5,tired,115.5,33.3,84.5,62.9,137.1,61.1,6.5,5,deload,Barbell Hip Thrust,glutes,865.0,12,10380.0
536,FULLBODY2,2015-06-02,79.3,okay,93.9,29.3,66.8,50.6,112.9,75.1,7.5,5,hypertrophy,Deadlift,back,452.5,7,3167.5
115,FULLBODY1,2012-09-23,71.8,good,86.8,25.6,62.7,49.9,102.0,64.9,10.0,1,hypertrophy,Barbell Bench Press,chest,92.5,10,925.0
1117,FULLBODY1,2019-02-16,93.1,tired,111.2,32.2,76.5,61.5,129.8,65.5,6.2,4,hypertrophy,Lat Pulldown,back,677.5,8,5420.0
1145,FULLBODY2,2019-04-24,93.9,okay,113.0,34.1,81.2,60.4,130.8,64.4,7.2,1,deload,Deadlift,back,532.5,11,5857.5
1776,FULLBODY3,2023-05-03,106.6,okay,126.3,37.2,89.9,69.7,147.6,56.1,7.0,5,hypertrophy,Lying Leg Curl,hamstrings,972.5,8,7780.0
62,FULLBODY2,2012-05-22,70.8,tired,84.8,25.0,59.6,45.3,98.2,62.3,6.6,3,hypertrophy,Deadlift,back,145.0,8,1160.0
1257,FULLBODY3,2020-01-08,95.4,tired,113.9,32.7,79.8,60.8,133.4,56.5,5.7,6,deload,Seated Face Pull,shoulders,727.5,8,5820.0
617,FULLBODY2,2015-12-09,80.9,okay,98.4,27.9,70.3,52.9,113.1,62.2,7.2,3,deload,Overhead Press,shoulders,375.0,12,4500.0
1292,FULLBODY2,2020-03-31,96.1,good,114.8,33.1,83.2,62.8,136.3,63.2,8.8,1,hypertrophy,Leg Extension,quads,950.0,10,9500.0
1021,FULLBODY1,2018-07-09,91.1,okay,109.4,32.4,78.3,58.4,126.8,68.0,7.5,3,hypertrophy,Standing Calf Raise,calves,500.0,12,6000.0
1084,FULLBODY1,2018-12-01,92.6,good,111.7,32.3,77.0,58.2,126.9,59.7,8.4,1,hypertrophy,Lat Pulldown,back,660.0,8,5280.0
1787,FULLBODY2,2023-05-31,106.6,good,126.7,37.4,88.8,69.7,146.8,65.7,8.2,2,hypertrophy,Dumbbell Skull Crusher,triceps,1052.5,12,12630.0
1047,FULLBODY3,2018-09-05,92.1,tired,111.9,32.5,78.9,59.8,129.1,58.6,6.8,4,hypertrophy,Lying Leg Curl,hamstrings,665.0,7,4655.0
180,FULLBODY3,2013-02-20,71.4,okay,86.2,24.8,60.6,47.0,99.1,61.2,7.1,2,hypertrophy,Reverse Grip Lat Pulldown,back,155.0,7,1085.0
1937,FULLBODY2,2024-05-15,110.0,tired,132.8,38.7,95.1,72.0,152.7,51.9,5.9,5,deload,Cable Flye,chest,1420.0,6,8520.0
